Category,Exercise,Variation
Hinge,Good Morning,"Supinated, Narrow, Bodyweight"
Squat,Safety Bar Squat,"Neutral, Split, Dumbbell"
Isolation,Lateral Raise,"Pronated, Narrow, Dumbbell"
Pull,Barbell Row,"Pronated, Bodyweight, Deficit"
Squat,Belt Squat,"Mixed, Shoulder Width, Cable"
Hinge,Stiff-Leg Deadlift,"Mixed, Split, Bodyweight"
Isolation,Calf Raise,"Neutral, Wide, Machine"
Press,Overhead Press,"Supinated, Bodyweight, Chains"
Hinge,Back Extension,"Supinated, Bodyweight, Elevated Heels"
Hinge,Stiff-Leg Deadlift,"False, Split, Barbell"
Isolation,Tricep Pushdown,"Mixed, Wide, Bodyweight"
Squat,Belt Squat,"Supinated, Split, Dumbbell"
Isolation,Rear Delt Fly,"Pronated, Dumbbell, Feet Elevated"
Pull,Pull-Up,"False, Split, Smith Machine"
Hinge,Deadlift,"Pronated, Wide, Machine"
Hinge,Romanian Deadlift,"Supinated, Smith Machine, Feet Elevated"
Pull,Lat Pulldown,"Pronated, Wide, Dumbbell"
Isolation,Calf Raise,"Neutral, Machine, Bands"
Press,Barbell Bench Press,"Mixed, Wide, Dumbbell"
Press,Dumbbell Bench Press,"False, Shoulder Width, Smith Machine"
Isolation,Leg Curl,"False, Wide, Dumbbell"
Isolation,Tricep Pushdown,"Neutral, Narrow, Cable"
Pull,Chin-Up,"Mixed, Wide, Bodyweight"
Press,Machine Chest Press,"Mixed, Narrow, Barbell"
Hinge,Deadlift,"False, Staggered, Dumbbell"
Isolation,Rear Delt Fly,"Supinated, Narrow, Cable"
Hinge,Hip Thrust,"Neutral, Split, Machine"
Squat,Back Squat,"Neutral, Smith Machine, Feet Elevated"
Hinge,Romanian Deadlift,"Neutral, Machine, Elevated Heels"
Pull,Chest Supported Row,"Neutral, Smith Machine, Bands"
Pull,Chest Supported Row,"Pronated, Staggered, Dumbbell"
Squat,Safety Bar Squat,"Mixed, Split, Smith Machine"
Hinge,Back Extension,"Pronated, Cable, Elevated Heels"
Press,Incline Bench Press,"Pronated, Wide, Barbell"
Hinge,Deadlift,"Supinated, Machine, Elevated Heels"
Pull,Chin-Up,"Neutral, Narrow, Cable"
Press,Barbell Bench Press,"Mixed, Shoulder Width, Machine"
Squat,Back Squat,"Supinated, Cable, Feet Elevated"
Pull,Cable Row,"Mixed, Shoulder Width, Barbell"
Isolation,Lateral Raise,"Pronated, Machine, Elevated Heels"
Hinge,Stiff-Leg Deadlift,"Pronated, Cable, Single Arm"
Isolation,Calf Raise,"Pronated, Bodyweight, Chains"
Isolation,Bicep Curl,"False, Staggered, Smith Machine"
Press,Incline Bench Press,"False, Narrow, Cable"
Press,Barbell Bench Press,"False, Split, Dumbbell"
Hinge,Back Extension,"Mixed, Split, Machine"
Squat,Goblet Squat,"Supinated, Wide, Cable"
Squat,Zercher Squat,"Supinated, Wide, Machine"
Isolation,Leg Extension,"Supinated, Dumbbell, Bands"
Press,Barbell Bench Press,"Supinated, Dumbbell, Chains"
Isolation,Calf Raise,"Pronated, Barbell, Elevated Heels"
Isolation,Calf Raise,"Neutral, Smith Machine, Deficit"
Isolation,Rear Delt Fly,"Neutral, Split, Barbell"
Isolation,Leg Curl,"False, Shoulder Width, Bodyweight"
Pull,Cable Row,"Pronated, Machine, Bands"
Squat,Zercher Squat,"False, Staggered, Smith Machine"
Hinge,Good Morning,"Pronated, Wide, Dumbbell"
Isolation,Calf Raise,"Supinated, Shoulder Width, Cable"
Squat,Goblet Squat,"Supinated, Staggered, Dumbbell"
Squat,Hack Squat,"Supinated, Wide, Cable"
Press,Barbell Bench Press,"Neutral, Machine, Single Arm"
Pull,Lat Pulldown,"Neutral, Split, Smith Machine"
Squat,Hack Squat,"Supinated, Shoulder Width, Machine"
Press,Incline Bench Press,"Neutral, Staggered, Smith Machine"
Press,Overhead Press,"Supinated, Shoulder Width, Barbell"
Isolation,Lateral Raise,"Pronated, Dumbbell, Feet Elevated"
Press,Barbell Bench Press,"False, Split, Cable"
Isolation,Leg Extension,"Supinated, Split, Bodyweight"
Isolation,Calf Raise,"Supinated, Shoulder Width, Smith Machine"
Squat,Goblet Squat,"Neutral, Shoulder Width, Cable"
Pull,Cable Row,"Neutral, Wide, Smith Machine"
Pull,Pull-Up,"Pronated, Staggered, Machine"
Squat,Goblet Squat,"Mixed, Narrow, Bodyweight"
Squat,Goblet Squat,"Neutral, Narrow, Smith Machine"
Hinge,Stiff-Leg Deadlift,"Supinated, Smith Machine, Feet Elevated"
Hinge,Back Extension,"Pronated, Shoulder Width, Machine"
Isolation,Leg Curl,"Pronated, Smith Machine, Chains"
Isolation,Lateral Raise,"Supinated, Narrow, Cable"
Isolation,Calf Raise,"Neutral, Barbell, Chains"
Hinge,Back Extension,"Supinated, Dumbbell, Single Arm"
Pull,Pull-Up,"Supinated, Bodyweight, Single Arm"
Squat,Hack Squat,"Neutral, Shoulder Width, Cable"
Hinge,Romanian Deadlift,"Mixed, Staggered, Bodyweight"
Isolation,Bicep Curl,"Neutral, Wide, Cable"
Press,Barbell Bench Press,"Pronated, Bodyweight, Single Arm"
Squat,Goblet Squat,"False, Staggered, Cable"
Press,Decline Bench Press,"Pronated, Split, Barbell"
Squat,Zercher Squat,"Neutral, Cable, Elevated Heels"
Squat,Goblet Squat,"Neutral, Narrow, Barbell"
Squat,Hack Squat,"Neutral, Narrow, Smith Machine"
Pull,Chest Supported Row,"Supinated, Machine, Deficit"
Hinge,Hip Thrust,"Mixed, Split, Smith Machine"
Isolation,Leg Curl,"Mixed, Shoulder Width, Bodyweight"
Squat,Safety Bar Squat,"Mixed, Staggered, Dumbbell"
Pull,Chest Supported Row,"Supinated, Bodyweight, Chains"
Hinge,Stiff-Leg Deadlift,"Neutral, Machine, Elevated Heels"
Press,Machine Chest Press,"Neutral, Barbell, Feet Elevated"
Press,Incline Bench Press,"Pronated, Bodyweight, Bands"
Squat,Safety Bar Squat,"Pronated, Dumbbell, Deficit"
Press,Dumbbell Bench Press,"Pronated, Smith Machine, Elevated Heels"
Isolation,Bicep Curl,"Neutral, Barbell, Single Arm"
Squat,Hack Squat,"False, Staggered, Cable"
Hinge,Good Morning,"Neutral, Split, Smith Machine"
Press,Overhead Press,"False, Shoulder Width, Barbell"
Press,Smith Machine Press,"Neutral, Cable, Single Arm"
Pull,Pull-Up,"Pronated, Narrow, Cable"
Isolation,Rear Delt Fly,"Pronated, Split, Dumbbell"
Isolation,Calf Raise,"Mixed, Wide, Cable"
Isolation,Bicep Curl,"False, Staggered, Barbell"
Isolation,Rear Delt Fly,"Pronated, Smith Machine, Deficit"
Squat,Goblet Squat,"Pronated, Cable, Feet Elevated"
Pull,T-Bar Row,"Neutral, Smith Machine, Bands"
Press,Barbell Bench Press,"Mixed, Split, Cable"
Isolation,Lateral Raise,"Neutral, Split, Barbell"
Squat,Zercher Squat,"Neutral, Barbell, Single Arm"
Squat,Back Squat,"Neutral, Dumbbell, Deficit"
Press,Incline Bench Press,"Mixed, Shoulder Width, Dumbbell"
Pull,Barbell Row,"Pronated, Wide, Cable"
Pull,Cable Row,"Neutral, Narrow, Machine"
Isolation,Leg Extension,"Pronated, Split, Bodyweight"
Press,Incline Bench Press,"Neutral, Staggered, Machine"
Isolation,Calf Raise,"Pronated, Cable, Deficit"
Press,Dip,"Neutral, Wide, Cable"
Squat,Zercher Squat,"False, Staggered, Barbell"
Pull,Pull-Up,"Supinated, Barbell, Deficit"
Pull,Chest Supported Row,"Pronated, Machine, Chains"
Isolation,Leg Extension,"Mixed, Narrow, Dumbbell"
Pull,Cable Row,"Pronated, Narrow, Machine"
Hinge,Back Extension,"Pronated, Narrow, Bodyweight"
Press,Barbell Bench Press,"Pronated, Wide, Bodyweight"
Isolation,Leg Extension,"Supinated, Cable, Bands"
Isolation,Calf Raise,"Supinated, Smith Machine, Elevated Heels"
Isolation,Bicep Curl,"Supinated, Machine, Chains"
Squat,Zercher Squat,"Supinated, Narrow, Barbell"
Pull,Barbell Row,"Mixed, Staggered, Smith Machine"
Isolation,Leg Curl,"Supinated, Bodyweight, Elevated Heels"
Hinge,Deadlift,"False, Staggered, Machine"
Hinge,Hip Thrust,"Pronated, Shoulder Width, Bodyweight"
Squat,Back Squat,"Supinated, Cable, Deficit"
Isolation,Leg Extension,"False, Split, Smith Machine"
Pull,Cable Row,"Supinated, Wide, Bodyweight"
Squat,Zercher Squat,"Supinated, Machine, Chains"
Isolation,Calf Raise,"Neutral, Barbell, Bands"
Isolation,Rear Delt Fly,"Pronated, Barbell, Bands"
Press,Incline Bench Press,"Neutral, Shoulder Width, Dumbbell"
Isolation,Bicep Curl,"Neutral, Staggered, Cable"
Press,Barbell Bench Press,"Neutral, Wide, Smith Machine"
Hinge,Stiff-Leg Deadlift,"Mixed, Staggered, Bodyweight"
Isolation,Tricep Pushdown,"False, Split, Machine"
Pull,Pull-Up,"Neutral, Split, Machine"
Press,Dumbbell Bench Press,"Mixed, Staggered, Cable"
Press,Incline Bench Press,"False, Wide, Cable"
Press,Barbell Bench Press,"Pronated, Shoulder Width, Smith Machine"
Isolation,Bicep Curl,"Neutral, Bodyweight, Deficit"
Isolation,Lateral Raise,"Pronated, Split, Dumbbell"
Hinge,Deadlift,"Neutral, Dumbbell, Bands"
Isolation,Lateral Raise,"Pronated, Smith Machine, Deficit"
Squat,Safety Bar Squat,"Mixed, Staggered, Barbell"
Pull,Lat Pulldown,"Neutral, Narrow, Bodyweight"
Squat,Zercher Squat,"Neutral, Staggered, Cable"
Squat,Front Squat,"Supinated, Split, Barbell"
Press,Smith Machine Press,"Supinated, Machine, Bands"
Pull,Barbell Row,"Supinated, Barbell, Elevated Heels"
Press,Smith Machine Press,"Neutral, Shoulder Width, Bodyweight"
Squat,Belt Squat,"Supinated, Bodyweight, Chains"
Pull,T-Bar Row,"Supinated, Machine, Deficit"
Squat,Zercher Squat,"Neutral, Bodyweight, Deficit"
Pull,T-Bar Row,"Supinated, Bodyweight, Chains"
Squat,Back Squat,"Mixed, Wide, Bodyweight"
Hinge,Deadlift,"Neutral, Machine, Deficit"
Hinge,Romanian Deadlift,"Pronated, Bodyweight, Deficit"
Isolation,Tricep Pushdown,"False, Shoulder Width, Smith Machine"
Squat,Front Squat,"Supinated, Shoulder Width, Bodyweight"
Hinge,Back Extension,"Supinated, Bodyweight, Deficit"
Squat,Safety Bar Squat,"Mixed, Shoulder Width, Barbell"
Isolation,Leg Curl,"Mixed, Split, Machine"
Squat,Front Squat,"Neutral, Smith Machine, Elevated Heels"
Hinge,Deadlift,"Neutral, Bodyweight, Single Arm"
Press,Incline Bench Press,"Pronated, Machine, Single Arm"
Squat,Front Squat,Standard
Isolation,Bicep Curl,"Pronated, Barbell, Deficit"
Isolation,Calf Raise,"False, Wide, Smith Machine"
Squat,Back Squat,"Neutral, Narrow, Cable"
Press,Smith Machine Press,"Pronated, Staggered, Cable"
Pull,Cable Row,"Neutral, Cable, Deficit"
Isolation,Bicep Curl,"False, Narrow, Cable"
Isolation,Calf Raise,"False, Shoulder Width, Machine"
Pull,Chin-Up,"False, Shoulder Width, Smith Machine"
Press,Decline Bench Press,"Pronated, Bodyweight, Bands"
Squat,Safety Bar Squat,"Pronated, Machine, Bands"
Press,Dumbbell Bench Press,"Pronated, Bodyweight, Elevated Heels"
Press,Overhead Press,"Supinated, Wide, Machine"
Press,Incline Bench Press,"Pronated, Shoulder Width, Dumbbell"
Pull,Chest Supported Row,"False, Shoulder Width, Barbell"
Hinge,Back Extension,"Neutral, Bodyweight, Elevated Heels"
Pull,Lat Pulldown,"Neutral, Smith Machine, Bands"
Squat,Belt Squat,"Neutral, Dumbbell, Deficit"
Isolation,Bicep Curl,"Neutral, Machine, Feet Elevated"
Press,Smith Machine Press,"False, Narrow, Machine"
Pull,T-Bar Row,"Pronated, Machine, Chains"
Squat,Zercher Squat,"Pronated, Barbell, Deficit"
Pull,Lat Pulldown,"Pronated, Staggered, Dumbbell"
Pull,Lat Pulldown,"Supinated, Wide, Barbell"
Isolation,Rear Delt Fly,"Supinated, Wide, Smith Machine"
Squat,Zercher Squat,"False, Narrow, Cable"
Press,Overhead Press,"Neutral, Wide, Bodyweight"
Isolation,Lateral Raise,"Pronated, Barbell, Bands"
Press,Machine Chest Press,"Neutral, Bodyweight, Chains"
Press,Decline Bench Press,"Mixed, Shoulder Width, Dumbbell"
Isolation,Leg Extension,"Pronated, Staggered, Machine"
Press,Smith Machine Press,"Neutral, Bodyweight, Bands"
Press,Dip,"Pronated, Wide, Barbell"
Isolation,Bicep Curl,"Neutral, Staggered, Smith Machine"
Isolation,Leg Curl,"Pronated, Shoulder Width, Machine"
Squat,Zercher Squat,"Neutral, Machine, Feet Elevated"
Squat,Hack Squat,"Neutral, Split, Dumbbell"
Isolation,Leg Curl,"Supinated, Dumbbell, Single Arm"
Isolation,Rear Delt Fly,"Mixed, Wide, Smith Machine"
Isolation,Leg Extension,"Supinated, Bodyweight, Single Arm"
Press,Machine Chest Press,"Pronated, Wide, Machine"
Pull,Pull-Up,"Mixed, Split, Smith Machine"
Squat,Zercher Squat,"Neutral, Staggered, Smith Machine"
Squat,Goblet Squat,"Pronated, Split, Machine"
Hinge,Back Extension,"Pronated, Smith Machine, Single Arm"
Press,Dumbbell Bench Press,"Pronated, Dumbbell, Feet Elevated"
Press,Overhead Press,"Pronated, Smith Machine, Feet Elevated"
Squat,Belt Squat,"Supinated, Shoulder Width, Barbell"
Isolation,Rear Delt Fly,"Supinated, Cable, Single Arm"
Press,Machine Chest Press,"False, Staggered, Dumbbell"
Hinge,Back Extension,"Pronated, Split, Smith Machine"
Isolation,Lateral Raise,"Supinated, Wide, Dumbbell"
Press,Overhead Press,"Neutral, Cable, Elevated Heels"
Squat,Goblet Squat,"Pronated, Split, Cable"
Squat,Hack Squat,"Pronated, Split, Machine"
Hinge,Good Morning,"Neutral, Smith Machine, Bands"
Hinge,Stiff-Leg Deadlift,"Pronated, Bodyweight, Deficit"
Press,Dumbbell Bench Press,"Supinated, Narrow, Cable"
Press,Machine Chest Press,"Supinated, Staggered, Dumbbell"
Press,Machine Chest Press,"Supinated, Machine, Elevated Heels"
Squat,Hack Squat,"Pronated, Split, Cable"
Hinge,Back Extension,"Neutral, Smith Machine, Chains"
Squat,Safety Bar Squat,"Neutral, Narrow, Machine"
Hinge,Back Extension,"False, Narrow, Dumbbell"
Isolation,Leg Extension,"Supinated, Barbell, Deficit"
Hinge,Deadlift,"Mixed, Wide, Dumbbell"
Isolation,Lateral Raise,"Supinated, Wide, Smith Machine"
Press,Machine Chest Press,"Mixed, Narrow, Bodyweight"
Pull,Lat Pulldown,"Supinated, Machine, Deficit"
Isolation,Leg Curl,"Pronated, Narrow, Bodyweight"
Isolation,Bicep Curl,"Neutral, Staggered, Machine"
Pull,Lat Pulldown,"Supinated, Bodyweight, Chains"
Pull,Pull-Up,"Pronated, Shoulder Width, Bodyweight"
Pull,Chin-Up,"Pronated, Smith Machine, Elevated Heels"
Isolation,Lateral Raise,"Mixed, Wide, Smith Machine"
Press,Dip,"Pronated, Bodyweight, Bands"
Pull,T-Bar Row,"False, Shoulder Width, Barbell"
Hinge,Deadlift,"Mixed, Shoulder Width, Machine"
Press,Decline Bench Press,"Pronated, Dumbbell, Chains"
Press,Decline Bench Press,"Pronated, Machine, Single Arm"
Squat,Front Squat,"Pronated, Shoulder Width, Cable"
Press,Overhead Press,"Supinated, Narrow, Barbell"
Isolation,Calf Raise,"Neutral, Shoulder Width, Machine"
Press,Smith Machine Press,"False, Wide, Dumbbell"
Hinge,Deadlift,"False, Split, Dumbbell"
Isolation,Calf Raise,"Supinated, Cable, Chains"
Pull,Chest Supported Row,"Supinated, Wide, Machine"
Isolation,Lateral Raise,"Supinated, Cable, Single Arm"
Squat,Front Squat,"Pronated, Dumbbell, Bands"
Press,Dip,"Mixed, Shoulder Width, Dumbbell"
Hinge,Romanian Deadlift,"Pronated, Wide, Cable"
Hinge,Deadlift,"Supinated, Dumbbell, Chains"
Pull,Lat Pulldown,"Pronated, Machine, Chains"
Isolation,Leg Extension,"Neutral, Split, Machine"
Press,Incline Bench Press,"Supinated, Bodyweight, Feet Elevated"
Press,Overhead Press,"Supinated, Machine, Chains"
Pull,Chest Supported Row,"False, Staggered, Smith Machine"
Squat,Goblet Squat,"Mixed, Staggered, Dumbbell"
Press,Barbell Bench Press,"Pronated, Machine, Feet Elevated"
Press,Incline Bench Press,"Pronated, Staggered, Bodyweight"
Pull,Barbell Row,"Pronated, Machine, Elevated Heels"
Hinge,Deadlift,"Neutral, Machine, Single Arm"
Squat,Goblet Squat,"Pronated, Dumbbell, Deficit"
Isolation,Bicep Curl,"Neutral, Shoulder Width, Dumbbell"
Squat,Safety Bar Squat,"Pronated, Split, Barbell"
Hinge,Good Morning,"Supinated, Machine, Deficit"
Squat,Front Squat,"False, Wide, Barbell"
Hinge,Deadlift,"False, Split, Cable"
Hinge,Good Morning,"Supinated, Bodyweight, Chains"
Isolation,Bicep Curl,"False, Wide, Cable"
Press,Machine Chest Press,"Supinated, Split, Cable"
Hinge,Hip Thrust,"Neutral, Wide, Cable"
Isolation,Leg Curl,"Mixed, Wide, Machine"
Squat,Hack Squat,"Mixed, Staggered, Dumbbell"
Hinge,Romanian Deadlift,"Mixed, Staggered, Smith Machine"
Squat,Hack Squat,"Pronated, Dumbbell, Deficit"
Isolation,Tricep Pushdown,"Mixed, Staggered, Cable"
Pull,Barbell Row,"Pronated, Barbell, Chains"
Squat,Back Squat,"False, Split, Machine"
Press,Decline Bench Press,"Supinated, Shoulder Width, Bodyweight"
Isolation,Calf Raise,"Neutral, Cable, Bands"
Press,Barbell Bench Press,"Neutral, Split, Bodyweight"
Press,Decline Bench Press,"Neutral, Smith Machine, Elevated Heels"
Hinge,Deadlift,"Pronated, Bodyweight, Single Arm"
Pull,Chest Supported Row,"Neutral, Cable, Elevated Heels"
Press,Smith Machine Press,"Neutral, Dumbbell, Chains"
Press,Incline Bench Press,"Supinated, Smith Machine, Bands"
Pull,Chin-Up,"Pronated, Narrow, Dumbbell"
Hinge,Good Morning,"Pronated, Machine, Chains"
Isolation,Leg Curl,"Neutral, Bodyweight, Elevated Heels"
Press,Decline Bench Press,Standard
Squat,Front Squat,"Neutral, Wide, Machine"
Isolation,Rear Delt Fly,"Mixed, Shoulder Width, Smith Machine"
Isolation,Bicep Curl,"Pronated, Shoulder Width, Dumbbell"
Squat,Back Squat,"False, Shoulder Width, Smith Machine"
Press,Overhead Press,"Supinated, Staggered, Smith Machine"
Press,Smith Machine Press,"Pronated, Smith Machine, Chains"
Hinge,Romanian Deadlift,"Supinated, Barbell, Elevated Heels"
Press,Overhead Press,"Pronated, Barbell, Deficit"
Isolation,Leg Curl,"False, Split, Bodyweight"
Press,Machine Chest Press,"False, Staggered, Machine"
Hinge,Deadlift,"Mixed, Split, Cable"
Pull,Chest Supported Row,"Neutral, Barbell, Single Arm"
Press,Barbell Bench Press,"Pronated, Staggered, Smith Machine"
Isolation,Tricep Pushdown,"Pronated, Bodyweight, Elevated Heels"
Hinge,Stiff-Leg Deadlift,"Pronated, Wide, Cable"
Pull,Barbell Row,"Mixed, Staggered, Machine"
Pull,Chest Supported Row,"False, Staggered, Barbell"
Isolation,Leg Extension,"Mixed, Split, Smith Machine"
Press,Incline Bench Press,"Neutral, Barbell, Elevated Heels"
Press,Overhead Press,"Neutral, Machine, Feet Elevated"
Press,Dip,"Pronated, Dumbbell, Chains"
Press,Dip,"Pronated, Machine, Single Arm"
Squat,Belt Squat,"Supinated, Wide, Machine"
Pull,Lat Pulldown,"False, Shoulder Width, Barbell"
Pull,T-Bar Row,"Supinated, Wide, Machine"
Hinge,Good Morning,"Supinated, Shoulder Width, Barbell"
Hinge,Deadlift,"Pronated, Wide, Bodyweight"
Pull,T-Bar Row,"False, Staggered, Smith Machine"
Press,Decline Bench Press,"Mixed, Split, Barbell"
Pull,Chest Supported Row,"Supinated, Narrow, Barbell"
Squat,Front Squat,"Pronated, Bodyweight, Chains"
Squat,Belt Squat,"Neutral, Wide, Bodyweight"
Hinge,Back Extension,"Pronated, Barbell, Feet Elevated"
Press,Incline Bench Press,"Supinated, Barbell, Single Arm"
Pull,Chin-Up,"Pronated, Machine, Elevated Heels"
Isolation,Rear Delt Fly,"Neutral, Staggered, Dumbbell"
Squat,Zercher Squat,"Neutral, Cable, Single Arm"
Press,Smith Machine Press,"Supinated, Machine, Single Arm"
Hinge,Stiff-Leg Deadlift,"Mixed, Staggered, Smith Machine"
Press,Dumbbell Bench Press,"Neutral, Bodyweight, Bands"
Squat,Hack Squat,"Mixed, Staggered, Barbell"
Squat,Goblet Squat,"Mixed, Shoulder Width, Barbell"
Squat,Front Squat,"Neutral, Smith Machine, Deficit"
Press,Machine Chest Press,"Neutral, Machine, Deficit"
Pull,Chest Supported Row,"Supinated, Machine, Chains"
Isolation,Tricep Pushdown,"Pronated, Dumbbell, Feet Elevated"
Isolation,Leg Curl,"False, Narrow, Dumbbell"
Squat,Front Squat,"Supinated, Shoulder Width, Cable"
Pull,Cable Row,"Supinated, Split, Barbell"
Press,Machine Chest Press,"Neutral, Bodyweight, Single Arm"
Isolation,Rear Delt Fly,"Mixed, Narrow, Smith Machine"
Isolation,Lateral Raise,"Mixed, Shoulder Width, Smith Machine"
Press,Decline Bench Press,"Pronated, Staggered, Bodyweight"
Hinge,Back Extension,"False, Narrow, Bodyweight"
Squat,Hack Squat,"Mixed, Shoulder Width, Barbell"
Squat,Belt Squat,"Pronated, Smith Machine, Feet Elevated"
Squat,Goblet Squat,"Pronated, Machine, Bands"
Press,Incline Bench Press,"Neutral, Machine, Bands"
Hinge,Deadlift,"Pronated, Shoulder Width, Smith Machine"
Pull,Chin-Up,"Pronated, Dumbbell, Feet Elevated"
Isolation,Tricep Pushdown,"Supinated, Narrow, Cable"
Squat,Belt Squat,"Neutral, Cable, Elevated Heels"
Press,Smith Machine Press,"Supinated, Bodyweight, Elevated Heels"
Press,Barbell Bench Press,"Neutral, Wide, Barbell"
Pull,Chest Supported Row,"Neutral, Staggered, Cable"
Hinge,Hip Thrust,"Pronated, Wide, Barbell"
Isolation,Leg Extension,"Pronated, Shoulder Width, Bodyweight"
Hinge,Good Morning,"False, Shoulder Width, Barbell"
Pull,T-Bar Row,"Neutral, Cable, Elevated Heels"
Press,Dip,"Neutral, Smith Machine, Elevated Heels"
Pull,Chest Supported Row,"Neutral, Bodyweight, Deficit"
Squat,Hack Squat,"Pronated, Machine, Bands"
Isolation,Lateral Raise,"Supinated, Smith Machine, Chains"
Squat,Front Squat,"Neutral, Barbell, Chains"
Squat,Goblet Squat,"Neutral, Wide, Smith Machine"
Press,Dip,Standard
Pull,Chin-Up,"Supinated, Narrow, Cable"
Press,Dumbbell Bench Press,"Supinated, Wide, Smith Machine"
Press,Incline Bench Press,"Neutral, Shoulder Width, Barbell"
Pull,Barbell Row,"Pronated, Split, Dumbbell"
Pull,Barbell Row,"Pronated, Smith Machine, Deficit"
Press,Decline Bench Press,"Pronated, Shoulder Width, Cable"
Pull,T-Bar Row,"Neutral, Barbell, Single Arm"
Isolation,Bicep Curl,"Supinated, Machine, Bands"
Press,Machine Chest Press,"False, Narrow, Smith Machine"
Press,Smith Machine Press,"Pronated, Cable, Elevated Heels"
Isolation,Lateral Raise,"Neutral, Staggered, Dumbbell"
Press,Decline Bench Press,"Pronated, Dumbbell, Bands"
Pull,T-Bar Row,"False, Staggered, Barbell"
Hinge,Stiff-Leg Deadlift,"Pronated, Smith Machine, Elevated Heels"
Press,Incline Bench Press,"False, Shoulder Width, Dumbbell"
Pull,Chest Supported Row,"Pronated, Barbell, Deficit"
Isolation,Bicep Curl,"Supinated, Bodyweight, Feet Elevated"
Pull,Pull-Up,"Neutral, Wide, Cable"
Pull,Chest Supported Row,"False, Narrow, Cable"
Squat,Zercher Squat,"Supinated, Machine, Bands"
Squat,Zercher Squat,"Neutral, Shoulder Width, Bodyweight"
Press,Smith Machine Press,"Mixed, Split, Machine"
Pull,Chin-Up,"Neutral, Split, Barbell"
Squat,Belt Squat,"Supinated, Narrow, Barbell"
Squat,Front Squat,"Pronated, Cable, Deficit"
Press,Dumbbell Bench Press,"Supinated, Cable, Single Arm"
Isolation,Lateral Raise,"Mixed, Narrow, Smith Machine"
Press,Decline Bench Press,"False, Wide, Barbell"
Pull,T-Bar Row,"Supinated, Narrow, Barbell"
Press,Decline Bench Press,"Pronated, Shoulder Width, Barbell"
Pull,Chest Supported Row,"Neutral, Machine, Feet Elevated"
Press,Incline Bench Press,"Supinated, Shoulder Width, Smith Machine"
Press,Decline Bench Press,"Neutral, Barbell, Elevated Heels"
Press,Dip,"Mixed, Split, Barbell"
Pull,Lat Pulldown,"Supinated, Wide, Machine"
Pull,Lat Pulldown,"False, Staggered, Smith Machine"
Pull,T-Bar Row,"Supinated, Machine, Chains"
Squat,Zercher Squat,"Pronated, Staggered, Cable"
Pull,Chest Supported Row,"Neutral, Staggered, Smith Machine"
Pull,Barbell Row,"Pronated, Barbell, Bands"
Press,Machine Chest Press,"Mixed, Wide, Dumbbell"
Hinge,Hip Thrust,"Pronated, Bodyweight, Bands"
Squat,Hack Squat,"Neutral, Narrow, Machine"
Press,Decline Bench Press,"Supinated, Barbell, Single Arm"
Squat,Goblet Squat,"Pronated, Narrow, Machine"
Pull,Barbell Row,"Supinated, Narrow, Smith Machine"
Hinge,Deadlift,"Pronated, Cable, Chains"
Hinge,Romanian Deadlift,"Pronated, Machine, Elevated Heels"
Press,Dip,"Pronated, Staggered, Bodyweight"
Press,Barbell Bench Press,"Supinated, Barbell, Bands"
Press,Smith Machine Press,"Pronated, Shoulder Width, Machine"
Squat,Front Squat,"Neutral, Barbell, Bands"
Press,Decline Bench Press,"Neutral, Wide, Machine"
Press,Smith Machine Press,"Supinated, Dumbbell, Single Arm"
Hinge,Hip Thrust,"Mixed, Shoulder Width, Dumbbell"
Pull,T-Bar Row,"Neutral, Staggered, Cable"
Squat,Back Squat,"Mixed, Staggered, Cable"
Press,Machine Chest Press,"Mixed, Shoulder Width, Machine"
Press,Incline Bench Press,"Mixed, Wide, Cable"
Pull,T-Bar Row,"Neutral, Bodyweight, Deficit"
Squat,Goblet Squat,"Supinated, Wide, Bodyweight"
Hinge,Deadlift,"Supinated, Staggered, Cable"
Pull,Cable Row,"Pronated, Dumbbell, Single Arm"
Isolation,Calf Raise,"Supinated, Barbell, Elevated Heels"
Press,Decline Bench Press,"Neutral, Machine, Bands"
Isolation,Rear Delt Fly,"Supinated, Split, Smith Machine"
Pull,Barbell Row,"Supinated, Wide, Dumbbell"
Press,Machine Chest Press,"False, Split, Dumbbell"
Hinge,Romanian Deadlift,"Pronated, Barbell, Chains"
Pull,Chin-Up,"Pronated, Split, Dumbbell"
Hinge,Good Morning,"Supinated, Wide, Machine"
Pull,Lat Pulldown,"Neutral, Cable, Elevated Heels"
Pull,Chin-Up,"Pronated, Smith Machine, Deficit"
Hinge,Stiff-Leg Deadlift,"Pronated, Narrow, Dumbbell"
Press,Barbell Bench Press,"Neutral, Dumbbell, Feet Elevated"
Press,Machine Chest Press,"Supinated, Dumbbell, Chains"
Press,Dumbbell Bench Press,"Neutral, Dumbbell, Chains"
Squat,Hack Squat,"Supinated, Wide, Bodyweight"
Hinge,Good Morning,"False, Staggered, Smith Machine"
Hinge,Back Extension,"Supinated, Dumbbell, Bands"
Press,Dip,"Pronated, Shoulder Width, Cable"
Pull,Cable Row,"Neutral, Split, Cable"
Isolation,Leg Curl,"Pronated, Barbell, Feet Elevated"
Isolation,Calf Raise,"Supinated, Cable, Elevated Heels"
Press,Dip,"Supinated, Smith Machine, Bands"
Press,Machine Chest Press,"Neutral, Machine, Single Arm"
